FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,WORLD,Mondo,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,141126922,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,WORLD,Mondo,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,900527714,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,WORLD,Mondo,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,1041654635,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,WRL_X_ITA,Paesi esteri,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,482877,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,WRL_X_ITA,Paesi esteri,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,16560531,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,WRL_X_ITA,Paesi esteri,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,17043408,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,140644044,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,883967183,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,1024611227,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC1,Piemonte,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,15895154,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC1,Piemonte,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,79653844,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC1,Piemonte,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,95548998,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,291935,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,1104794,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,1396729,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC3,Liguria,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,1405607,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC3,Liguria,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,27367457,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC3,Liguria,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,28773063,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC4,Lombardia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,33110900,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC4,Lombardia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,198209233,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITC4,Lombardia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,231320134,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITDA,Trentino Alto Adige,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,9216560,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITDA,Trentino Alto Adige,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,28941103,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITDA,Trentino Alto Adige,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,38157663,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WORLD,Mondo,ITD1,Provincia Autonoma Bolzano / Bozen,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,5758666,,
