FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,IT,Italia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,47.9,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,IT,Italia,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,139.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,IT,Italia,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,126.8,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC1,Piemonte,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,39,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC1,Piemonte,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,130.1,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC1,Piemonte,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,114.6,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,58.9,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,121.7,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,110.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC3,Liguria,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,63.6,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC3,Liguria,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,140.3,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC3,Liguria,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,136.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC4,Lombardia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,42.7,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC4,Lombardia,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,116.7,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITC4,Lombardia,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,105.7,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITDA,Trentino Alto Adige,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,33.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITDA,Trentino Alto Adige,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,93.6,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITDA,Trentino Alto Adige,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,78.7,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD1,Provincia Autonoma Bolzano / Bozen,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,28.4,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD1,Provincia Autonoma Bolzano / Bozen,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,70.6,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD1,Provincia Autonoma Bolzano / Bozen,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,59.7,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD2,Provincia Autonoma Trento,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,41.6,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD2,Provincia Autonoma Trento,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,125.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD2,Provincia Autonoma Trento,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,106,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD3,Veneto,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,50.6,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD3,Veneto,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,125,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD3,Veneto,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,112.9,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD4,Friuli-Venezia Giulia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,59.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD4,Friuli-Venezia Giulia,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,128,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD4,Friuli-Venezia Giulia,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,120.4,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD5,Emilia-Romagna,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,66.4,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD5,Emilia-Romagna,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,138,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITD5,Emilia-Romagna,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,132.1,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE1,Toscana,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,56.8,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE1,Toscana,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,152.9,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE1,Toscana,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,142.6,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE2,Umbria,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,68.7,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE2,Umbria,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,174.4,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE2,Umbria,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,162.8,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE3,Marche,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,42.1,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE3,Marche,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,189.4,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE3,Marche,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,154.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE4,Lazio,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,43.9,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE4,Lazio,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,177,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITE4,Lazio,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,163.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF1,Abruzzo,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,57.8,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF1,Abruzzo,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,207.9,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF1,Abruzzo,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,180.4,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF2,Molise,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,77.2,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF2,Molise,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,183.3,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF2,Molise,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,174.5,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF3,Campania,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,51.3,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF3,Campania,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,179.9,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF3,Campania,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,167.1,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF4,Puglia,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,53.3,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF4,Puglia,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,220.3,,
A,Annuale,IT,Italia,AD_KM,Distanza media percorsa dalla merce - km,ITF4,Puglia,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,196.5,,
