FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NAVIGATION_TRTYPE,Forma di navigazione,PORT_EMB_DISEMB,Porto di imbarco e sbarco,TYPE_OF_CARGO,Tipo di carico,GOODS_TRANSPORT_NSTR,Tipo merce (NST/R 2002),GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),COUNTRY_PREV_NEXT,Paese di origine o destinazione,MAR_REG_LOADING,Regione italiana di imbarco,MAR_REG_UNLOADING,Regione italiana,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT,Italia,2023,315207,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITC3,Liguria,2023,48757,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD3,Veneto,2023,18898,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD4,Friuli-Venezia Giulia,2023,48479,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITD5,Emilia-Romagna,2023,23038,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE1,Toscana,2023,22892,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE3,Marche,2023,5610,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITE4,Lazio,2023,11281,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF1,Abruzzo,2023,1542,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF2,Molise,2023,2,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF3,Campania,2023,14173,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF4,Puglia,2023,20948,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITF6,Calabria,2023,23683,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG1,Sicilia,2023,43733,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITG2,Sardegna,2023,24914,,
A,Annuale,IT,Italia,GHU,Merce sbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT_NAL,'Italy, not allocated',2023,7254,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,IT,Italia,2023,173681,,
A,Annuale,IT,Italia,GHL,Merce imbarcata - tonnellate (migliaia),ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,ALL,Tutte le voci,WORLD,Mondo,IT,Italia,ITC3,Liguria,2023,28010,,
