FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,15_EMPMOV_FOOT,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: vanno a piedi,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,12,,
A,Annuale,IT,Italia,15_EMPMOV_MEANS,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: usano mezzi di trasporto,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,88,,
A,Annuale,IT,Italia,15_EMPMOV_TRAIN,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: treno,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,3.4,,
A,Annuale,IT,Italia,15_EMPMOV_BUS,'Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: tram, bus',HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,4.4,,
A,Annuale,IT,Italia,15_EMPMOV_METRO,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: metropolitana,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,3.1,,
A,Annuale,IT,Italia,15_EMPMOV_COACH,'Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: pullman, corriera',HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,1.7,,
A,Annuale,IT,Italia,15_EMPMOV_BUSC,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: pullman aziendale,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,0.3,,
A,Annuale,IT,Italia,15_EMPMOV_PCAR,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: auto privata (come conducente),HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,70.3,,
A,Annuale,IT,Italia,15_EMPMOV_PPASS,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: auto privata (come passeggero),HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,4.8,,
A,Annuale,IT,Italia,15_EMPMOV_MOTOR,'Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: motocicletta, ciclomotore',HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,3.3,,
A,Annuale,IT,Italia,15_EMPMOV_BICYC,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: bicicletta,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,2.9,,
A,Annuale,IT,Italia,15_EMPL_MOVT_15,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: fino a 15 minuti,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,35.3,,
A,Annuale,IT,Italia,15_EMPL_MOVT_31,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: 31 minuti e più,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,15.6,,
A,Annuale,ITCD,Nord,15_EMPMOV_FOOT,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: vanno a piedi,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,11.8,,
A,Annuale,ITCD,Nord,15_EMPMOV_MEANS,Occupati di 15 anni e più che escono di casa abitualmente per andare a lavoro per mezzo di trasporto utilizzato e tempo impiegato: usano mezzi di trasporto,HSC,Per 100 persone con le stesse caratteristiche,Y_GE15,15 anni e più,2024,88.2,,
